ining Epoch 1 --- Training Accuracy:  84.4%, Validation Accuracy:  75.0%,  Validation Loss: 1.375
Training Epoch 2 --- Training Accuracy:  96.1%, Validation Accuracy:  77.3%,  Validation Loss: 0.671
Training Epoch 3 --- Training Accuracy:  98.4%, Validation Accuracy:  71.1%,  Validation Loss: 1.115
Training Epoch 4 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 1.796
Training Epoch 5 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.602
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 1.873
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.095
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.794
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.795
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 2.052
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.944
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.404
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.175
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.494
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.857
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 4.003
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 2.322
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 2.091
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.274
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 2.836
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.535
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 3.129
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.959
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 3.731
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.862
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.914
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 3.186
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 2.839
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.968
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.921
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 3.448
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 3.935
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 5.381
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.991
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 2.688
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.939
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 3.761
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 4.455
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 3.931
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 3.773
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 4.735
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 3.624
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 3.630
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 4.021
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 3.524
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.449
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 3.519
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 4.241
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 4.825
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 6.588

