Training Epoch 1 --- Training Accuracy:  45.3%, Validation Accuracy:  71.1%,  Validation Loss: 0.809
Training Epoch 2 --- Training Accuracy:  54.7%, Validation Accuracy:  57.0%,  Validation Loss: 1.207
Training Epoch 3 --- Training Accuracy:  54.7%, Validation Accuracy:  65.6%,  Validation Loss: 0.935
Training Epoch 4 --- Training Accuracy:  54.7%, Validation Accuracy:  49.2%,  Validation Loss: 1.295
Training Epoch 5 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.193
Training Epoch 6 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.948
Training Epoch 7 --- Training Accuracy:  54.7%, Validation Accuracy:  50.8%,  Validation Loss: 1.320
Training Epoch 8 --- Training Accuracy:  54.7%, Validation Accuracy:  57.0%,  Validation Loss: 1.126
Training Epoch 9 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.196
Training Epoch 10 --- Training Accuracy:  54.7%, Validation Accuracy:  53.9%,  Validation Loss: 1.260
Training Epoch 11 --- Training Accuracy:  54.7%, Validation Accuracy:  50.0%,  Validation Loss: 1.267
Training Epoch 12 --- Training Accuracy:  54.7%, Validation Accuracy:  56.2%,  Validation Loss: 1.162
Training Epoch 13 --- Training Accuracy:  54.7%, Validation Accuracy:  47.7%,  Validation Loss: 1.465
Training Epoch 14 --- Training Accuracy:  54.7%, Validation Accuracy:  53.1%,  Validation Loss: 1.147
Training Epoch 15 --- Training Accuracy:  54.7%, Validation Accuracy:  56.2%,  Validation Loss: 1.149
Training Epoch 16 --- Training Accuracy:  54.7%, Validation Accuracy:  59.4%,  Validation Loss: 1.140
Training Epoch 17 --- Training Accuracy:  54.7%, Validation Accuracy:  53.1%,  Validation Loss: 1.227
Training Epoch 18 --- Training Accuracy:  54.7%, Validation Accuracy:  60.2%,  Validation Loss: 1.051
Training Epoch 19 --- Training Accuracy:  54.7%, Validation Accuracy:  57.0%,  Validation Loss: 1.098
Training Epoch 20 --- Training Accuracy:  54.7%, Validation Accuracy:  65.6%,  Validation Loss: 0.917
Training Epoch 21 --- Training Accuracy:  54.7%, Validation Accuracy:  49.2%,  Validation Loss: 1.161
Training Epoch 22 --- Training Accuracy:  54.7%, Validation Accuracy:  54.7%,  Validation Loss: 1.196
Training Epoch 23 --- Training Accuracy:  55.5%, Validation Accuracy:  64.8%,  Validation Loss: 0.970
Training Epoch 24 --- Training Accuracy:  56.2%, Validation Accuracy:  50.8%,  Validation Loss: 1.393
Training Epoch 25 --- Training Accuracy:  56.2%, Validation Accuracy:  57.0%,  Validation Loss: 1.143
Training Epoch 26 --- Training Accuracy:  54.7%, Validation Accuracy:  55.5%,  Validation Loss: 1.178
