ining Epoch 1 --- Training Accuracy:  49.2%, Validation Accuracy:  80.5%,  Validation Loss: 1.353
Training Epoch 2 --- Training Accuracy:  49.2%, Validation Accuracy:  68.0%,  Validation Loss: 0.729
Training Epoch 3 --- Training Accuracy:  49.2%, Validation Accuracy:  66.4%,  Validation Loss: 0.761
Training Epoch 4 --- Training Accuracy:  49.2%, Validation Accuracy:  69.5%,  Validation Loss: 0.535
Training Epoch 5 --- Training Accuracy:  49.2%, Validation Accuracy:  69.5%,  Validation Loss: 0.619
Training Epoch 6 --- Training Accuracy:  49.2%, Validation Accuracy:  72.7%,  Validation Loss: 0.555
Training Epoch 7 --- Training Accuracy:  49.2%, Validation Accuracy:  69.5%,  Validation Loss: 0.625
Training Epoch 8 --- Training Accuracy:  49.2%, Validation Accuracy:  55.5%,  Validation Loss: 0.762
Training Epoch 9 --- Training Accuracy:  49.2%, Validation Accuracy:  64.8%,  Validation Loss: 0.726
Training Epoch 10 --- Training Accuracy:  48.4%, Validation Accuracy:  66.4%,  Validation Loss: 0.638
Training Epoch 11 --- Training Accuracy:  49.2%, Validation Accuracy:  67.2%,  Validation Loss: 0.644
Training Epoch 12 --- Training Accuracy:  49.2%, Validation Accuracy:  64.1%,  Validation Loss: 0.719
Training Epoch 13 --- Training Accuracy:  52.3%, Validation Accuracy:  60.9%,  Validation Loss: 0.720
Training Epoch 14 --- Training Accuracy:  54.7%, Validation Accuracy:  64.8%,  Validation Loss: 0.645
Training Epoch 15 --- Training Accuracy:  49.2%, Validation Accuracy:  64.1%,  Validation Loss: 0.682
Training Epoch 16 --- Training Accuracy:  49.2%, Validation Accuracy:  65.6%,  Validation Loss: 0.649
Training Epoch 17 --- Training Accuracy:  50.0%, Validation Accuracy:  64.8%,  Validation Loss: 0.709
Training Epoch 18 --- Training Accuracy:  46.9%, Validation Accuracy:  70.3%,  Validation Loss: 0.618
Training Epoch 19 --- Training Accuracy:  48.4%, Validation Accuracy:  63.3%,  Validation Loss: 0.682
Training Epoch 20 --- Training Accuracy:  49.2%, Validation Accuracy:  58.6%,  Validation Loss: 0.750
Training Epoch 21 --- Training Accuracy:  52.3%, Validation Accuracy:  71.1%,  Validation Loss: 0.546
Training Epoch 22 --- Training Accuracy:  54.7%, Validation Accuracy:  67.2%,  Validation Loss: 0.667
Training Epoch 23 --- Training Accuracy:  59.4%, Validation Accuracy:  64.1%,  Validation Loss: 0.668
Training Epoch 24 --- Training Accuracy:  59.4%, Validation Accuracy:  66.4%,  Validation Loss: 0.703
Training Epoch 25 --- Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.976
Training Epoch 26 --- Training Accuracy:  68.8%, Validation Accuracy:  57.8%,  Validation Loss: 1.003
Training Epoch 27 --- Training Accuracy:  73.4%, Validation Accuracy:  62.5%,  Validation Loss: 0.809
Training Epoch 28 --- Training Accuracy:  76.6%, Validation Accuracy:  58.6%,  Validation Loss: 1.076
Training Epoch 29 --- Training Accuracy:  85.9%, Validation Accuracy:  59.4%,  Validation Loss: 1.121
Training Epoch 30 --- Training Accuracy:  76.6%, Validation Accuracy:  53.9%,  Validation Loss: 1.405
Training Epoch 31 --- Training Accuracy:  84.4%, Validation Accuracy:  57.0%,  Validation Loss: 1.367
Training Epoch 32 --- Training Accuracy:  88.3%, Validation Accuracy:  57.8%,  Validation Loss: 1.367
Training Epoch 33 --- Training Accuracy:  88.3%, Validation Accuracy:  64.8%,  Validation Loss: 1.205
Training Epoch 34 --- Training Accuracy:  87.5%, Validation Accuracy:  69.5%,  Validation Loss: 1.178
Training Epoch 35 --- Training Accuracy:  93.0%, Validation Accuracy:  61.7%,  Validation Loss: 1.374
Training Epoch 36 --- Training Accuracy:  91.4%, Validation Accuracy:  60.9%,  Validation Loss: 1.576
Training Epoch 37 --- Training Accuracy:  94.5%, Validation Accuracy:  57.0%,  Validation Loss: 1.890
Training Epoch 38 --- Training Accuracy:  89.1%, Validation Accuracy:  63.3%,  Validation Loss: 1.565
Training Epoch 39 --- Training Accuracy:  90.6%, Validation Accuracy:  60.9%,  Validation Loss: 1.796
Training Epoch 40 --- Training Accuracy:  96.9%, Validation Accuracy:  54.7%,  Validation Loss: 1.975
Training Epoch 41 --- Training Accuracy:  93.8%, Validation Accuracy:  55.5%,  Validation Loss: 2.003
Training Epoch 42 --- Training Accuracy:  94.5%, Validation Accuracy:  59.4%,  Validation Loss: 2.007
Training Epoch 43 --- Training Accuracy:  96.9%, Validation Accuracy:  52.3%,  Validation Loss: 2.297
Training Epoch 44 --- Training Accuracy:  96.9%, Validation Accuracy:  61.7%,  Validation Loss: 2.084
Training Epoch 45 --- Training Accuracy:  97.7%, Validation Accuracy:  53.1%,  Validation Loss: 2.564
Training Epoch 46 --- Training Accuracy:  95.3%, Validation Accuracy:  58.6%,  Validation Loss: 2.284
Training Epoch 47 --- Training Accuracy:  98.4%, Validation Accuracy:  53.1%,  Validation Loss: 2.626
Training Epoch 48 --- Training Accuracy:  97.7%, Validation Accuracy:  53.9%,  Validation Loss: 2.865
Training Epoch 49 --- Training Accuracy:  99.2%, Validation Accuracy:  60.9%,  Validation Loss: 2.393
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 2.674
Training Epoch 51 --- Training Accuracy:  99.2%, Validation Accuracy:  64.8%,  Validation Loss: 2.228

