ining Epoch 1 --- Training Accuracy:  85.2%, Validation Accuracy:  76.6%,  Validation Loss: 1.493
Training Epoch 2 --- Training Accuracy:  98.4%, Validation Accuracy:  78.9%,  Validation Loss: 0.943
Training Epoch 3 --- Training Accuracy:  99.2%, Validation Accuracy:  74.2%,  Validation Loss: 1.327
Training Epoch 4 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.390
Training Epoch 5 --- Training Accuracy:  99.2%, Validation Accuracy:  78.9%,  Validation Loss: 1.273
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.124
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.444
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 2.137
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.596
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 0.977
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 1.922
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.817
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.713
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.985
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.779
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  68.0%,  Validation Loss: 2.186
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.639
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.025
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.832
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.823
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.077
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.766
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.752
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.903
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.495
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 2.129
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 1.541
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.595
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.686
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.516
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.132
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.552
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 2.946
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.151
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.549
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.374
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.225
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.554
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.117
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.082
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 2.298
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.975
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.549
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 1.826
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 3.028
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 3.121
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.945
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.475
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.956
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.400

