ining Epoch 1 --- Training Accuracy:  49.2%, Validation Accuracy:  76.6%,  Validation Loss: 1.470
Training Epoch 2 --- Training Accuracy:  58.6%, Validation Accuracy:  64.8%,  Validation Loss: 0.710
Training Epoch 3 --- Training Accuracy:  64.8%, Validation Accuracy:  62.5%,  Validation Loss: 0.803
Training Epoch 4 --- Training Accuracy:  64.1%, Validation Accuracy:  71.9%,  Validation Loss: 0.724
Training Epoch 5 --- Training Accuracy:  61.7%, Validation Accuracy:  75.8%,  Validation Loss: 0.514
Training Epoch 6 --- Training Accuracy:  65.6%, Validation Accuracy:  73.4%,  Validation Loss: 0.648
Training Epoch 7 --- Training Accuracy:  68.8%, Validation Accuracy:  66.4%,  Validation Loss: 0.798
Training Epoch 8 --- Training Accuracy:  66.4%, Validation Accuracy:  65.6%,  Validation Loss: 0.963
Training Epoch 9 --- Training Accuracy:  69.5%, Validation Accuracy:  62.5%,  Validation Loss: 1.200
Training Epoch 10 --- Training Accuracy:  74.2%, Validation Accuracy:  63.3%,  Validation Loss: 1.542
Training Epoch 11 --- Training Accuracy:  74.2%, Validation Accuracy:  63.3%,  Validation Loss: 1.959
Training Epoch 12 --- Training Accuracy:  76.6%, Validation Accuracy:  63.3%,  Validation Loss: 2.176
Training Epoch 13 --- Training Accuracy:  75.8%, Validation Accuracy:  69.5%,  Validation Loss: 1.906
Training Epoch 14 --- Training Accuracy:  75.8%, Validation Accuracy:  64.8%,  Validation Loss: 2.624
Training Epoch 15 --- Training Accuracy:  81.2%, Validation Accuracy:  63.3%,  Validation Loss: 2.786
Training Epoch 16 --- Training Accuracy:  86.7%, Validation Accuracy:  59.4%,  Validation Loss: 3.609
Training Epoch 17 --- Training Accuracy:  82.8%, Validation Accuracy:  64.1%,  Validation Loss: 3.948
Training Epoch 18 --- Training Accuracy:  89.8%, Validation Accuracy:  59.4%,  Validation Loss: 4.125
Training Epoch 19 --- Training Accuracy:  82.0%, Validation Accuracy:  64.8%,  Validation Loss: 3.822
Training Epoch 20 --- Training Accuracy:  88.3%, Validation Accuracy:  62.5%,  Validation Loss: 4.273
Training Epoch 21 --- Training Accuracy:  89.1%, Validation Accuracy:  60.2%,  Validation Loss: 4.386
Training Epoch 22 --- Training Accuracy:  93.8%, Validation Accuracy:  55.5%,  Validation Loss: 4.345
Training Epoch 23 --- Training Accuracy:  89.8%, Validation Accuracy:  67.2%,  Validation Loss: 3.450
Training Epoch 24 --- Training Accuracy:  91.4%, Validation Accuracy:  57.0%,  Validation Loss: 4.629
Training Epoch 25 --- Training Accuracy:  93.8%, Validation Accuracy:  59.4%,  Validation Loss: 4.444
Training Epoch 26 --- Training Accuracy:  91.4%, Validation Accuracy:  68.8%,  Validation Loss: 4.167
Training Epoch 27 --- Training Accuracy:  95.3%, Validation Accuracy:  55.5%,  Validation Loss: 5.621
Training Epoch 28 --- Training Accuracy:  93.0%, Validation Accuracy:  64.8%,  Validation Loss: 3.740
Training Epoch 29 --- Training Accuracy:  95.3%, Validation Accuracy:  66.4%,  Validation Loss: 4.020
Training Epoch 30 --- Training Accuracy:  93.0%, Validation Accuracy:  65.6%,  Validation Loss: 4.096
Training Epoch 31 --- Training Accuracy:  95.3%, Validation Accuracy:  61.7%,  Validation Loss: 4.414
Training Epoch 32 --- Training Accuracy:  93.0%, Validation Accuracy:  60.2%,  Validation Loss: 4.156
Training Epoch 33 --- Training Accuracy:  96.9%, Validation Accuracy:  60.2%,  Validation Loss: 4.208
Training Epoch 34 --- Training Accuracy:  97.7%, Validation Accuracy:  64.1%,  Validation Loss: 4.449
Training Epoch 35 --- Training Accuracy:  97.7%, Validation Accuracy:  64.1%,  Validation Loss: 4.340
Training Epoch 36 --- Training Accuracy:  96.9%, Validation Accuracy:  62.5%,  Validation Loss: 5.037
Training Epoch 37 --- Training Accuracy:  94.5%, Validation Accuracy:  56.2%,  Validation Loss: 5.190
Training Epoch 38 --- Training Accuracy:  95.3%, Validation Accuracy:  58.6%,  Validation Loss: 4.778
Training Epoch 39 --- Training Accuracy:  97.7%, Validation Accuracy:  59.4%,  Validation Loss: 4.371
