ining Epoch 1 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 1.794
Training Epoch 2 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.451
Training Epoch 3 --- Training Accuracy:  99.2%, Validation Accuracy:  81.2%,  Validation Loss: 1.224
Training Epoch 4 --- Training Accuracy:  99.2%, Validation Accuracy:  78.9%,  Validation Loss: 1.238
Training Epoch 5 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.298
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  84.4%,  Validation Loss: 1.003
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.501
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.127
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.355
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.128
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.586
Training Epoch 12 --- Training Accuracy:  99.2%, Validation Accuracy:  69.5%,  Validation Loss: 1.569
Training Epoch 13 --- Training Accuracy:  99.2%, Validation Accuracy:  74.2%,  Validation Loss: 1.251
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.817
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.449
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 1.799
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.522
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 2.160
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.619
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  82.0%,  Validation Loss: 1.339
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.653
